id,order_id,ticker,event_ticker,city,market_type,side,contracts,entry_price_cents,fees_cents,estimated_temp_f,forecast_temp_f,primary_temp_f,surrounding_avg_f,confidence,edge_pct,model_std_dev,floor_strike,cap_strike,our_probability,market_probability,settled,actual_temp_f,settlement_result,pnl_cents,created_at,settled_at,prediction_error_f,notes,final_pnl_cents,signal_source
11,a5cbe84e-5607-4cdb-95e5-501ea94bfba3,KXLOWTMIA-26FEB17-T66,KXLOWTMIA-26FEB17,MIA,low,yes,1,21,4,,,,,,,,,,,,1,65.0,loss,-21,2026-02-17T03:00:25.540686Z,2026-02-19 01:58:34,,,-21,model
12,657dae3c-c9c3-4e34-a963-d342d38dab88,KXLOWTPHIL-26FEB17-T33,KXLOWTPHIL-26FEB17,PHI,low,no,1,55,2,,,,,,,,,,,,1,35.0,loss,-55,2026-02-17T02:30:22.475658Z,2026-02-19 01:58:35,,,-55,model
13,309d8938-a70b-4875-ae39-c333d54d22d9,KXLOWTMIA-26FEB17-B61.5,KXLOWTMIA-26FEB17,MIA,low,no,1,93,1,,,,,,,,,,,,1,65.0,win,7,2026-02-17T02:30:21.725168Z,2026-02-19 01:58:35,,,7,model
14,40942791-f971-466f-a980-d6a9d38d5a3c,KXLOWTMIA-26FEB17-B59.5,KXLOWTMIA-26FEB17,MIA,low,no,1,98,1,,,,,,,,,,,,1,65.0,win,2,2026-02-17T02:30:20.97521Z,2026-02-19 01:58:35,,,2,model
15,d1cfe9ca-f1bd-4aaa-929e-2a2c5d023f4b,KXLOWTPHIL-26FEB17-T33,KXLOWTPHIL-26FEB17,PHI,low,no,1,57,2,,,,,,,,,,,,1,35.0,loss,-57,2026-02-17T02:00:30.557368Z,2026-02-19 01:58:36,,,-57,model
16,324b4d58-0de2-473d-bbad-a469c615b992,KXLOWTMIA-26FEB17-B61.5,KXLOWTMIA-26FEB17,MIA,low,no,1,93,1,,,,,,,,,,,,1,65.0,win,7,2026-02-17T02:00:29.806234Z,2026-02-19 01:58:36,,,7,model
17,ea2cdc8e-03c9-4fc8-8458-e73a2bd02137,KXLOWTMIA-26FEB17-B59.5,KXLOWTMIA-26FEB17,MIA,low,no,1,98,1,,,,,,,,,,,,1,65.0,win,2,2026-02-17T02:00:29.055487Z,2026-02-19 01:58:36,,,2,model
18,fd2f6a7b-686d-4a8d-b1e3-4c07ad158b38,KXLOWTNYC-26FEB17-T35,KXLOWTNYC-26FEB17,NYC,low,yes,1,35,4,,,,,,,,,,,,1,35.0,loss,-35,2026-02-17T01:30:32.658151Z,2026-02-19 01:58:37,,,-35,model
19,a5c187ac-73e8-4b99-9918-f641342e59ad,KXLOWTMIA-26FEB17-B61.5,KXLOWTMIA-26FEB17,MIA,low,no,1,93,1,,,,,,,,,,,,1,65.0,win,7,2026-02-17T01:30:31.908595Z,2026-02-19 01:58:37,,,7,model
20,bd0bf0da-7855-4f85-9092-dd0770528d99,KXLOWTMIA-26FEB17-B59.5,KXLOWTMIA-26FEB17,MIA,low,no,1,98,1,,,,,,,,,,,,1,65.0,win,2,2026-02-17T01:30:31.15749Z,2026-02-19 01:58:37,,,2,model
21,9c24f7dd-688b-4445-a83b-14f43a049e0f,KXLOWTPHIL-26FEB17-B30.5,KXLOWTPHIL-26FEB17,PHI,low,yes,1,15,5,,,,,,,,,,,,1,35.0,loss,-15,2026-02-17T01:00:24.730585Z,2026-02-19 01:58:38,,,-15,model
22,5be0800e-e9a3-4231-9424-77e74210d88d,KXLOWTMIA-26FEB17-B61.5,KXLOWTMIA-26FEB17,MIA,low,no,1,92,1,,,,,,,,,,,,1,65.0,win,8,2026-02-17T01:00:23.979119Z,2026-02-19 01:58:38,,,8,model
